overlap threshold (poc),accuracy
0.0,0.6900878293601004
0.01,0.6913425345043914
0.02,0.6913425345043914
0.03,0.6913425345043914
0.04,0.6900878293601004
0.05,0.6900878293601004
0.06,0.6900878293601004
0.07,0.6900878293601004
0.08,0.6900878293601004
0.09,0.6900878293601004
0.1,0.6900878293601004
0.11,0.6900878293601004
0.12,0.6900878293601004
0.13,0.6900878293601004
0.14,0.6900878293601004
0.15,0.6900878293601004
0.16,0.6900878293601004
0.17,0.6888331242158093
0.18,0.6888331242158093
0.19,0.6888331242158093
0.2,0.6888331242158093
0.21,0.6888331242158093
0.22,0.6875784190715182
0.23,0.6875784190715182
0.24,0.6863237139272271
0.25,0.6863237139272271
0.26,0.6863237139272271
0.27,0.6875784190715182
0.28,0.6875784190715182
0.29,0.6875784190715182
0.3,0.6875784190715182
0.31,0.6875784190715182
0.32,0.6875784190715182
0.33,0.6875784190715182
0.34,0.6875784190715182
0.35,0.6863237139272271
0.36,0.685069008782936
0.37,0.685069008782936
0.38,0.6838143036386449
0.39,0.6838143036386449
0.4,0.6813048933500627
0.41,0.6813048933500627
0.42,0.6813048933500627
0.43,0.6800501882057717
0.44,0.6800501882057717
0.45,0.6787954830614805
0.46,0.6750313676286073
0.47,0.6737766624843162
0.48,0.6725219573400251
0.49,0.6725219573400251
0.5,0.671267252195734
0.51,0.6687578419071518
0.52,0.6662484316185696
0.53,0.6649937264742786
0.54,0.6637390213299874
0.55,0.6612296110414053
0.56,0.6599749058971142
0.57,0.6599749058971142
0.58,0.6599749058971142
0.59,0.6599749058971142
0.6,0.6587202007528231
0.61,0.6587202007528231
0.62,0.6562107904642409
0.63,0.6562107904642409
0.64,0.6562107904642409
0.65,0.6562107904642409
0.66,0.6549560853199499
0.67,0.6549560853199499
0.68,0.6549560853199499
0.69,0.6537013801756587
0.7,0.6499372647427855
0.71,0.6474278544542033
0.72,0.6461731493099122
0.73,0.644918444165621
0.74,0.6424090338770388
0.75,0.6373902132998746
0.76,0.6336260978670013
0.77,0.6273525721455459
0.78,0.6210790464240903
0.79,0.6148055207026348
0.8,0.6060225846925973
0.81,0.589711417816813
0.82,0.5809284818067754
0.83,0.5671267252195734
0.84,0.562107904642409
0.85,0.5495608531994981
0.86,0.534504391468005
0.87,0.5094102885821832
0.88,0.4918444165621079
0.89,0.46800501882057716
0.9,0.44416562107904645
0.91,0.41530740276035133
0.92,0.3889585947302384
0.93,0.3601003764115433
0.94,0.32622333751568383
0.95,0.28858218318695106
0.96,0.24717691342534504
0.97,0.21329987452948557
0.98,0.1618569636135508
0.99,0.1342534504391468
